daydec,Direct Beam,DirectHz,GlobalHz,DifHz
1.02083333333333,0,0,0,0
1.0625,0,0,0,0
1.10416666666667,0,0,0,0
1.14583333333333,0,0,0,0
1.1875,0,0,0,0
1.22916666666667,0,0,0,0
1.27083333333333,0,0,0,0
1.3125,436.11572778386,62.692291660405,107.608390184121,44.9160985237161
1.35416666666667,717.403889217492,239.360756795708,319.247810653064,79.8870538573555
1.39583333333333,831.581079964867,407.081865385208,501.931645460992,94.8497800757835
1.4375,885.868509669019,532.199439653864,634.871305333927,102.671865680063
1.47916666666667,909.062130095502,599.783124466743,706.039713294795,106.256588828052
1.52083333333333,910.076019965907,602.975855731305,709.393336188208,106.417480456904
1.5625,889.259696365068,541.466864005394,644.652122501205,103.185258495811
1.60416666666667,838.767096757183,421.448014477399,517.296543369087,95.8485288916876
1.64583333333333,732.912152872655,256.888726101266,338.738052901122,81.8493267998564
1.6875,478.512689490245,78.1795212109945,128.424823852789,50.2453026417943
1.72916666666667,0,0,0,0
1.77083333333333,0,0,0,0
1.8125,0,0,0,0
1.85416666666667,0,0,0,0
1.89583333333333,0,0,0,0
1.9375,0,0,0,0
1.97916666666667,0,0,0,0
2.02083333333333,0,0,0,0
2.0625,0,0,0,0
2.10416666666667,0,0,0,0
2.14583333333333,0,0,0,0
2.1875,0,0,0,0
2.22916666666667,0,0,0,0
2.27083333333333,0,0,0,0
2.3125,434.323069914629,62.0909084551644,106.780396030944,44.6894875757793
2.35416666666667,716.968185366026,238.876730800249,318.708660974361,79.8319301741128
2.39583333333333,831.548664227249,406.995732288655,501.840654329231,94.8449220405757
2.4375,886.030529622415,532.603151519475,635.298892375832,102.695740856357
2.47916666666667,909.368164741549,600.702700572992,707.007110395032,106.304409822041
2.52083333333333,910.535301489208,604.386897868834,710.876674742791,106.489776873956
2.5625,889.933918121987,543.297404580385,646.584551642401,103.287147062016
2.60416666666667,839.818211112667,423.574942400894,519.569971541399,95.9950291405054
2.64583333333333,734.806975075789,259.109750959488,341.199649771977,82.0898988124895
2.6875,483.064589135503,79.9985579321515,130.813043347025,50.814485414874
2.72916666666667,0,0,0,0
2.77083333333333,0,0,0,0
2.8125,0,0,0,0
2.85416666666667,0,0,0,0
2.89583333333333,0,0,0,0
2.9375,0,0,0,0
2.97916666666667,0,0,0,0
3.02083333333333,0,0,0,0
3.0625,0,0,0,0
3.10416666666667,0,0,0,0
3.14583333333333,0,0,0,0
3.1875,0,0,0,0
3.22916666666667,0,0,0,0
3.27083333333333,0,0,0,0
3.3125,432.702136297487,61.5515032935116,106.036098689746,44.484595396234
3.35416666666667,716.608049091739,238.481429423733,318.267882774757,79.786453351024
3.39583333333333,831.560391173671,407.009036153768,501.855420702609,94.8463845488413
3.4375,886.223469420389,533.110836346803,635.835457096124,102.724620749321
3.47916666666667,909.699044038359,601.726359678455,708.082968640983,106.356608962528
3.52083333333333,911.017224075645,605.89834019671,712.464499506872,106.566159310161
3.5625,890.63155648852,545.221326184284,648.614403208119,103.393077023835
3.60416666666667,840.896905224761,425.785334361332,521.931162414196,96.1458280528636
3.64583333333333,736.738798060154,261.401799932446,343.737338920624,82.3355389881783
3.6875,487.672920389524,81.8748485414349,133.265160063029,51.3903115215942
3.72916666666667,0,0,0,0
3.77083333333333,0,0,0,0
3.8125,0,0,0,0
3.85416666666667,0,0,0,0
3.89583333333333,0,0,0,0
3.9375,0,0,0,0
3.97916666666667,0,0,0,0
4.02083333333333,0,0,0,0
4.0625,0,0,0,0
4.10416666666667,0,0,0,0
